Steps,Policy/Entropy,RT,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1860000,1.1833432,5.329365079365079,1050.7241379310344,0.54421216,3.075865729101773,3.075865729101773,0.011731928,0.035053395,0.0002727,0.1909,0.0009099103,1.0
1920000,1.175151,5.36,1050.7241379310344,0.5445835,3.1346095026585092,3.1346095026585092,0.011856983,0.03327031,0.0002718,0.1906,0.00090694026,1.0
1980000,1.1698526,5.229249011857707,999.0,0.54774475,2.9901432045574845,2.9901432045574845,0.011940412,0.034983158,0.0002709,0.19030002,0.0009039703,1.0
2040000,1.167104,5.283400809716599,1050.7241379310344,0.5675205,3.167386605821807,3.167386605821807,0.012037027,0.036325067,0.00027,0.19000003,0.0009009999,1.0
2100000,1.1591611,4.9450980392156865,1050.7241379310344,0.5675608,3.2101797852022895,3.2101797852022895,0.011802961,0.03372042,0.0002691,0.1897,0.00089803035,1.0
2160000,1.1511663,4.896,1050.7241379310344,0.58114207,3.235614952288176,3.235614952288176,0.012269607,0.03512093,0.00026819998,0.18939999,0.0008950599,1.0
2220000,1.1466906,4.840637450199203,999.0,0.58545774,3.05178046637568,3.05178046637568,0.012065003,0.035476208,0.0002673,0.18910001,0.0008920901,1.0
2280000,1.1415608,4.623529411764705,1050.7241379310344,0.5893581,3.2334975661902594,3.2334975661902594,0.01266362,0.037820686,0.00026639996,0.18880002,0.0008891199,1.0
2340000,1.1339109,4.838709677419355,1050.7241379310344,0.59907955,3.234886021449648,3.234886021449648,0.01265559,0.03707137,0.00026549998,0.18850002,0.00088614994,1.0
2400000,1.1244986,4.569169960474309,1050.7241379310344,0.5984742,3.198274938683761,3.198274938683761,0.0127246035,0.037061907,0.00026459998,0.1882,0.00088318,1.0
2460000,1.1159412,4.716599190283401,999.0,0.6139909,3.1002177328898988,3.1002177328898988,0.012480735,0.033711538,0.00026370003,0.18789999,0.00088020996,1.0
2520000,1.1105083,4.755905511811024,1050.7241379310344,0.6204481,3.2436335538995675,3.2436335538995675,0.012293805,0.033663366,0.00026280008,0.18759997,0.00087724003,1.0
2580000,1.1019967,4.464566929133858,1050.7241379310344,0.6318853,3.2543580490967323,3.2543580490967323,0.011901472,0.034316715,0.00026190002,0.18730003,0.00087427,1.0
2640000,1.0975286,4.442687747035573,1050.7241379310344,0.647102,3.337855728049027,3.337855728049027,0.011755728,0.03582542,0.00026100007,0.187,0.00087130006,1.0
2700000,1.0935705,4.559523809523809,999.0,0.64892447,3.0590920571623177,3.0590920571623177,0.012277171,0.034918457,0.0002601001,0.1867,0.00086833,1.0
2760000,1.0895402,4.374517374517374,1050.7241379310344,0.6498897,3.31251611791808,3.31251611791808,0.012434295,0.033945896,0.00025920005,0.18639997,0.0008653601,1.0
2820000,1.0873077,4.568627450980392,1050.7241379310344,0.651335,3.2067222245808304,3.2067222245808304,0.012414676,0.03759036,0.00025830005,0.1861,0.00086239004,1.0
2880000,1.0807812,4.586614173228346,1050.7241379310344,0.64416814,3.276554747631675,3.276554747631675,0.012687119,0.032977983,0.00025740004,0.18580002,0.0008594199,1.0
2940000,1.0751709,4.498069498069498,999.0,0.65476316,3.113295620885389,3.113295620885389,0.012596179,0.033361934,0.0002565001,0.18550001,0.00085644994,1.0
3000000,1.0693362,4.50996015936255,1050.7241379310344,0.65457946,3.2512090658319406,3.2512090658319406,0.012392701,0.035982132,0.00025560005,0.1852,0.00085347996,1.0
3060000,1.065737,4.4541832669322705,1050.7241379310344,0.63963664,3.314392874980795,3.314392874980795,0.0125618735,0.035685875,0.00025470008,0.18489999,0.00085051,1.0
3120000,1.0581539,4.2976190476190474,1050.7241379310344,0.6405083,3.2315794731441296,3.2315794731441296,0.012304997,0.03778323,0.00025380004,0.18459998,0.00084754,1.0
3180000,1.0528866,4.192156862745098,999.0,0.63692546,3.168354470154335,3.168354470154335,0.012817605,0.035733722,0.00025290006,0.1843,0.0008445699,1.0
3240000,1.0448465,4.200787401574803,1050.7241379310344,0.6450621,3.3420691407960037,3.3420691407960037,0.012640653,0.036864363,0.00025200003,0.18400002,0.0008416,1.0
3300000,1.0337657,4.0778210116731515,1050.7241379310344,0.64078534,3.3752068979986785,3.3752068979986785,0.012844816,0.03605196,0.00025110005,0.1837,0.00083863,1.0
3360000,1.0275978,4.285714285714286,1050.7241379310344,0.6476682,3.3410414980168928,3.3410414980168928,0.013546983,0.037293017,0.0002502,0.18339999,0.0008356599,1.0
3420000,1.0204087,4.125490196078432,999.0,0.6519746,3.1128427489050505,3.1128427489050505,0.012663234,0.032605506,0.00024930004,0.1831,0.00083269004,1.0
3480000,1.0154318,4.2631578947368425,1050.7241379310344,0.64841783,3.364805792940074,3.364805792940074,0.012657129,0.036862705,0.00024840003,0.18280002,0.00082971994,1.0
3540000,1.0091299,4.229838709677419,1050.7241379310344,0.6502422,3.3901490548561357,3.3901490548561357,0.012702651,0.035460964,0.00024750002,0.1825,0.00082675007,1.0
3600000,1.0059328,4.412,1050.7241379310344,0.64421695,3.3681136704327765,3.3681136704327765,0.012817982,0.0376767,0.00024660002,0.18219998,0.00082378,1.0
3660000,1.0020852,4.362204724409449,999.0,0.6443904,3.2012730877974938,3.2012730877974938,0.012961767,0.036775723,0.0002457,0.1819,0.00082081003,1.0
3720000,0.99778813,4.268,1050.7241379310344,0.64952296,3.3461353655519157,3.3461353655519157,0.012733392,0.03608433,0.00024480003,0.18160002,0.00081784005,1.0
3780000,0.99463487,4.424603174603175,1050.7241379310344,0.64725107,3.3743902691479386,3.3743902691479386,0.012311827,0.035522807,0.0002439,0.18130001,0.00081487006,1.0
3840000,0.99252456,4.141129032258065,1050.7241379310344,0.6476442,3.432035232845106,3.432035232845106,0.013044416,0.037202936,0.00024300002,0.18099998,0.00081190007,1.0
3900000,0.9829224,4.035433070866142,999.0,0.65484524,3.2255053972375802,3.2255053972375802,0.01251143,0.035663687,0.00024210001,0.18069999,0.00080893014,1.0
3960000,0.97698927,4.266129032258065,1050.7241379310344,0.6547629,3.3615243928185823,3.3615243928185823,0.012959667,0.034046285,0.00024120002,0.1804,0.00080596015,1.0
